"State_Code","State_Name","District_ID","District_Name","School_ID","School_Name","Combined_Key","Juvenile_Justice_School","CS_Classes_Offered","CS_Hispanic_Male","CS_Hispanic_Female","CS_AmericanIndian_Male","CS_AmericanIndian_Female","CS_Asian_Male","CS_Asian_Female","CS_PacificIslander_Male","CS_PacificIslander_Female","CS_Black_Male","CS_Black_Female","CS_White_Male","CS_White_Female","CS_TwoOrMore_Male","CS_TwoOrMore_Female","CS_Total_Male","CS_Total_Female","CS_EnglishLearner_Male","CS_EnglishLearner_Female","CS_Disability_Male","CS_Disability_Female","SCHOOL_YEAR","VIRTUAL_TEXT","TitleI_Status","school_enrollment","Elementary","Middle","High","sex_female","sex_male","race_american_indian","race_asian","race_black","race_hispanic","race_pacific_islander","race_multiracial","race_white","sex_total","race_total","sex_female_prop","sex_male_prop","race_american_indian_prop","race_asian_prop","race_black_prop","race_hispanic_prop","race_pacific_islander_prop","race_multiracial_prop","race_white_prop","Total_CS_Enrolment","White_CS","Black_CS","Hispanic_CS","Asian_CS","AmericanIndian_CS","Multiracial_CS","Disability_CS","EnglishLearner_CS","Prop_Male_CS","Prop_Female_CS","Race_Total_CS","Race_Exceeds_Total","Total_Race_CS","Prop_Black_CS","Prop_White_CS","Prop_Hispanic_CS","Prop_Asian_CS","Prop_AmericanIndian_CS","Prop_Multiracial_CS","has_CCD_info"
"NJ","NEW JERSEY","3417610","West Orange Public Schools",2482,"Gregory Elementary School","341761002482","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Not_TitleI",2240,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","CALIFORNIA","0600027","Lake Elsinore Unified",11036,"Lakeside High","060002711036","No",5,65,12,0,0,5,0,0,0,2,0,10,0,4,0,86,12,2,0,11,2,"2021-2022","Not reported","Mixed",8805,NA,NA,1,NA,NA,NA,104,136,2656,NA,102,502,0,3500,NA,NA,NA,0.0297142857142857,0.0388571428571429,0.758857142857143,NA,0.0291428571428571,0.143428571428571,98,10,2,77,5,0,4,13,2,0.877551020408163,0.122448979591837,98,FALSE,98,0.0204081632653061,0.102040816326531,0.785714285714286,0.0510204081632653,0,0.0408163265306122,TRUE
"NJ","New Jersey","3410560","Montclair Public School District",2170,"Edgemont Elementary School","341056002170","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Targeted",1185,1,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,238,0,308,NA,NA,NA,NA,NA,0.227272727272727,NA,NA,0.772727272727273,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CT","CONNECTICUT","0905190","Windham School District",1085,"Windham Center School","090519001085","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Supplemental Virtual","Schoolwide",1235,1,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,134,0,474,NA,NA,NA,NA,NA,0.717299578059072,NA,NA,0.282700421940928,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"FL","Florida","1201230","Manatee",1230,"Palma Sola Elementary School","120123001230","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",2405,1,NA,NA,466,496,0,22,40,150,0,86,664,962,962,0.484407484407484,0.515592515592516,0,0.0228690228690229,0.0415800415800416,0.155925155925156,0,0.0893970893970894,0.69022869022869,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"FL","FLORIDA","1201590","POLK",2893,"WENDELL WATSON ELEMENTARY SCHOOL","120159002893","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",4210,1,NA,NA,808,876,12,20,214,432,0,50,956,1684,1684,0.479809976247031,0.520190023752969,0.00712589073634204,0.0118764845605701,0.1270783847981,0.256532066508314,0,0.0296912114014252,0.567695961995249,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NJ","New Jersey","3405490","Franklin Township Public School District",5212,"Franklin Middle School At Hamilton Street Campus","340549005212","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",3310,NA,1,NA,NA,NA,NA,74,516,608,NA,NA,NA,0,1198,NA,NA,NA,0.0617696160267112,0.430717863105175,0.507512520868113,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","TEXAS","4843920","VAN ISD",4985,"VAN H S","484392004985","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Missing","Schoolwide",3725,NA,NA,1,716,774,0,4,46,314,0,72,1054,1490,1490,0.480536912751678,0.519463087248322,0,0.00268456375838926,0.0308724832214765,0.210738255033557,0,0.0483221476510067,0.707382550335571,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","TEXAS","4831950","MUMFORD ISD",3551,"MUMFORD EL","483195003551","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Missing","Schoolwide",1855,1,1,NA,410,332,2,0,32,396,0,8,304,742,742,0.55256064690027,0.44743935309973,0.00269541778975741,0,0.0431266846361186,0.533692722371968,0,0.0107816711590297,0.409703504043127,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","CALIFORNIA","0633930","Salinas City Elementary",5328,"Roosevelt Elementary","063393005328","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Not reported","Mixed",2540,1,1,NA,NA,NA,NA,NA,NA,970,NA,NA,NA,0,970,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
