"State_Code","State_Name","District_ID","District_Name","School_ID","School_Name","Combined_Key","Juvenile_Justice_School","CS_Classes_Offered","CS_Hispanic_Male","CS_Hispanic_Female","CS_AmericanIndian_Male","CS_AmericanIndian_Female","CS_Asian_Male","CS_Asian_Female","CS_PacificIslander_Male","CS_PacificIslander_Female","CS_Black_Male","CS_Black_Female","CS_White_Male","CS_White_Female","CS_TwoOrMore_Male","CS_TwoOrMore_Female","CS_Total_Male","CS_Total_Female","CS_EnglishLearner_Male","CS_EnglishLearner_Female","CS_Disability_Male","CS_Disability_Female","SCHOOL_YEAR","VIRTUAL_TEXT","TitleI_Status","school_enrollment","Elementary","Middle","High","sex_female","sex_male","race_american_indian","race_asian","race_black","race_hispanic","race_pacific_islander","race_multiracial","race_white","sex_total","race_total","sex_female_prop","sex_male_prop","race_american_indian_prop","race_asian_prop","race_black_prop","race_hispanic_prop","race_pacific_islander_prop","race_multiracial_prop","race_white_prop","Total_CS_Enrolment","White_CS","Black_CS","Hispanic_CS","Asian_CS","AmericanIndian_CS","Multiracial_CS","Disability_CS","EnglishLearner_CS","Prop_Male_CS","Prop_Female_CS","Race_Total_CS","Race_Exceeds_Total","Total_Race_CS","Prop_Black_CS","Prop_White_CS","Prop_Hispanic_CS","Prop_Asian_CS","Prop_AmericanIndian_CS","Prop_Multiracial_CS","has_CCD_info"
"MO","Missouri","2923700","Pattonville R-Iii",1423,"Willow Brook Elem.","292370001423","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",2370,1,NA,NA,NA,NA,NA,84,310,124,NA,106,322,0,946,NA,NA,NA,0.0887949260042283,0.3276955602537,0.13107822410148,NA,0.112050739957717,0.340380549682875,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","California","0691134","Golden Plains Unified",10217,"San Joaquin Elementary","069113410217","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Not reported","Mixed",2855,1,1,NA,NA,NA,NA,NA,NA,1114,NA,NA,NA,0,1114,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"IL","Illinois","1709100","Central A & M Cud 21",4528,"Bond Primary","170910004528","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Not reported","Mixed",580,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0,226,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MN","MINNESOTA","2706240","BROOKLYN CENTER SCHOOL DISTRICT",4853,"Brooklyn Center Summer School","270624004853","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Not_TitleI",0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","TEXAS","4814730","COMAL ISD",7559,"SPRING BRANCH MIDDLE","481473007559","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Missing","Not_TitleI",2935,NA,1,NA,570,604,0,18,20,436,0,30,670,1174,1174,0.485519591141397,0.514480408858603,0,0.0153321976149915,0.0170357751277683,0.371379897785349,0,0.0255536626916525,0.570698466780239,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","California","0627720","Novato Unified",4194,"Rancho Elementary","062772004194","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Not reported","Mixed",1720,1,NA,NA,NA,NA,NA,108,NA,250,NA,NA,262,0,620,NA,NA,NA,0.174193548387097,NA,0.403225806451613,NA,NA,0.42258064516129,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","California","0621090","Lassen View Union Elementary",2533,"Lassen View Elementary","062109002533","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Not reported","Mixed",1775,1,1,NA,NA,NA,NA,NA,NA,146,NA,NA,548,0,694,NA,NA,NA,NA,NA,0.210374639769452,NA,NA,0.789625360230548,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NC","NORTH CAROLINA","3701920","Guilford County Schools",2629,"The Early College at Guilford College","370192002629","No",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"2021-2022","No virtual instruction","Not_TitleI",985,NA,NA,1,220,174,0,190,30,12,2,14,146,394,394,0.558375634517767,0.441624365482233,0,0.482233502538071,0.0761421319796954,0.0304568527918782,0.0050761421319797,0.0355329949238579,0.370558375634518,1,1,0,0,0,0,0,0,0,1,0,1,FALSE,1,0,1,0,0,0,0,TRUE
"IL","Illinois","1709930","City Of Chicago Sd 299",1147,"Waters Elem School","170993001147","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Not reported","Mixed",3305,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,0,764,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MN","MINNESOTA","2710060","DASSEL-COKATO PUBLIC SCHOOL DIST.",2267,"DASSEL-COKATO MIDDLE","271006002267","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Targeted",3180,1,1,NA,NA,NA,NA,NA,NA,NA,NA,38,1176,0,1214,NA,NA,NA,NA,NA,NA,NA,0.0313014827018122,0.968698517298188,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NY","NEW YORK","3626520","SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT",3628,"H FRANK CAREY HIGH SCHOOL","362652003628","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Not_TitleI",7995,NA,1,1,NA,NA,NA,444,NA,NA,NA,NA,1944,0,2388,NA,NA,NA,0.185929648241206,NA,NA,NA,NA,0.814070351758794,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MA","MASSACHUSETTS","2502400","Bedford",130,"John Glenn Middle School","250240000130","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Not_TitleI",3050,NA,1,NA,NA,NA,NA,244,82,64,NA,62,766,0,1218,NA,NA,NA,0.200328407224959,0.0673234811165846,0.0525451559934319,NA,0.0509031198686371,0.628899835796388,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"FL","Florida","1201470","Osceola",8554,"Lincoln-Marti Charter Schools(Osceola Campus)","120147008554","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",320,1,1,NA,74,54,0,0,0,124,0,2,2,128,128,0.578125,0.421875,0,0,0,0.96875,0,0.015625,0.015625,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","CALIFORNIA","0623160","Lynwood Unified",3538,"Roosevelt Elementary","062316003538","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Not reported","Mixed",2510,1,1,NA,NA,NA,NA,NA,NA,944,NA,NA,NA,0,944,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NM","NEW MEXICO","3500060","ALBUQUERQUE PUBLIC SCHOOLS",683,"MARIE M HUGHES ELEMENTARY","350006000683","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",1930,1,NA,NA,NA,NA,NA,NA,NA,542,NA,NA,152,0,694,NA,NA,NA,NA,NA,0.780979827089337,NA,NA,0.219020172910663,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"KS","Kansas","2004290","Burlington",1994,"Burlington Middle School 5 - 8","200429001994","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",1175,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,0,410,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MO","Missouri","2928800","Spokane R-Vii",8,"Spokane Middle","292880000008","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",720,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,0,274,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"IN","INDIANA","1812090","Vigo County School Corp",1894,"Benjamin Franklin Elem School","181209001894","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",1945,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","California","0624600","Merced City Elementary",3694,"Margaret Sheehy Elementary","062460003694","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Not reported","Mixed",2720,1,1,NA,NA,NA,NA,64,NA,924,NA,NA,NA,0,988,NA,NA,NA,0.0647773279352227,NA,0.935222672064777,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NY","NEW YORK","3620580","NEW YORK CITY PUBLIC SCHOOLS",4782,"Ps 396","362058004782","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
